Ticker,Currency,Description
SOFR,USD,Secured Overnight Financing Rate (US)
ESTER,EUR,Euro Short-Term Rate
SONIA,GBP,Sterling Overnight Index Average 
SARON,CHF,Swiss Average Rate Overnight
TONAR,JPY,Tokyo Overnight Average Rate
IRX,USD,13 WEEK TREASURY BILL
