,Ticker,Currency,Description
0,SPX,USD,S&P 500
1,DJI,USD,Dow Jones Industrial average
2,FTSE100,GBP,FTSE100
3,SX5E,EUR,EURO STOXX 50
4,HSI,HKD,Hang Seng Index (Hong Kong)
